sr_no,age_group,gender,residential_area,education_level,employment_status,monthly_income,current_brand,model_name,current_price_range,usage_duration,purchase_source,top_3_reasons,most_used_feature,upgrade_frequency,purchase_preference,resale_consideration,satisfaction,next_brand_preference,next_priority,next_budget,foldable_interest,indian_brand_preference
1,36 - 50,Female,Rural,Graduation,Employed,"10,000 - 25,000",Xiaomi,redmi 6,"Below 10,000",More than 3 years,Online,"Camera quality, Storage & RAM, Price & affordability",Office works,Only when my phone stops working,Online,No,Yes,Samsung,Software updates & longevity,"20,000 - 40,000",No,Yes
2,18 - 25,Female,Rural,Graduation,Student,"10,000 - 25,000",Vivo,vivo y20,"10,000 - 20,000",More than 3 years,Local Retail Store,"Battery life, Processor performance, Software & UI Experience",Communication,Only when my phone stops working,Offline (Retail Store),Yes,No,Vivo,5G support,"10,000 - 20,000",Maybe,Doesn't matter
3,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Vivo,vivo y200e 5g,"20,000 - 40,000",6 months - 1 year,Brand Outlet/Showroom,"Camera quality, Battery life, 5G support",Social media,Every 3+ years,Offline (Retail Store),No,Yes,OnePlus,"Features (camera, battery, performance, etc)","20,000 - 40,000",No,Yes
4,26 - 35,Male,Rural,Post-graduation & Above,Employed,"10,000 - 25,000",Vivo,vivo y73,"20,000 - 40,000",1 - 3 years,Local Retail Store,"Display quality, Storage & RAM, 5G support",Office works,Every 2 years,Offline (Retail Store),Yes,No,Unknown,Performance & Speed,"20,000 - 40,000",Maybe,Doesn't matter
5,18 - 25,Female,Rural,Post-graduation & Above,Student,"10,000 - 25,000",Realme,realme narzo 50a,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Communication,Every 3+ years,Offline (Retail Store),No,Yes,Oppo,5G support,"20,000 - 40,000",No,Yes
6,18 - 25,Male,Rural,Graduation,Student,"10,000 - 25,000",Realme,realme note 10,"10,000 - 20,000",6 months - 1 year,Brand Outlet/Showroom,"Battery life, Processor performance, Display quality",Social media,Every 3+ years,Brand Showroom,No,Yes,Apple,5G support,"20,000 - 40,000",Maybe,Doesn't matter
7,36 - 50,Male,Urban,10th - 12th,Self-Employed,"10,000 - 25,000",Samsung,samsung s31,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Storage & RAM, Software & UI Experience, After-Sales Service",Communication,Every 3+ years,Offline (Retail Store),No,Yes,Apple,"Features (camera, battery, performance, etc)","40,000 - 70,000",No,Doesn't matter
8,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Oppo,oppo y17,"10,000 - 20,000",More than 3 years,Local Retail Store,"Camera quality, Battery life, Processor performance",Social media,Only when my phone stops working,Offline (Retail Store),Yes,Yes,OnePlus,Software updates & longevity,"20,000 - 40,000",Maybe,Yes
9,18 - 25,Female,Rural,Graduation,Student,"25,000 - 50,000",Vivo,vivo s22,"10,000 - 20,000",1 - 3 years,Local Retail Store,"Battery life, Software & UI Experience, After-Sales Service",Other,Only when my phone stops working,Offline (Retail Store),No,Yes,Vivo,Software updates & longevity,"20,000 - 40,000",No,Doesn't matter
10,26 - 35,Female,Urban,10th - 12th,Unemployed,"50,000 - 1,00,000",Motorola,motorola edge neo,"20,000 - 40,000",6 months - 1 year,Local Retail Store,"Display quality, Price & affordability, 5G support",Social media,Every 3+ years,Offline (Retail Store),Yes,Yes,Poco,5G support,"10,000 - 20,000",No,No
11,36 - 50,Female,Urban,10th - 12th,Unemployed,"10,000 - 25,000",Oppo,oppo s53,"10,000 - 20,000",More than 3 years,Brand Outlet/Showroom,"Camera quality, Processor performance, Storage & RAM",Communication,Only when my phone stops working,Offline (Retail Store),Yes,Yes,Unknown,Performance & Speed,"20,000 - 40,000",No,Yes
12,50+,Male,Urban,10th - 12th,Unemployed,"25,000 - 50,000",Vivo,,"10,000 - 20,000",1 - 3 years,Online,"Battery life, Display quality, Storage & RAM",Social media,Only when my phone stops working,Online,No,Yes,Samsung,"Features (camera, battery, performance, etc)","40,000 - 70,000",Yes,Yes
13,26 - 35,Male,Urban,Graduation,Employed,"25,000 - 50,000",Realme,,"20,000 - 40,000",1 - 3 years,Online,"Battery life, Storage & RAM, Software & UI Experience",Social media,Only when my phone stops working,Online,No,Yes,OnePlus,Performance & Speed,"40,000 - 70,000",Yes,Yes
14,26 - 35,Male,Urban,Graduation,Self-Employed,"50,000 - 1,00,000",Apple,iphonee 14 pro max,"Above 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Display quality, Storage & RAM",Camera,Every 3+ years,Brand Showroom,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",No,Doesn't matter
15,26 - 35,Male,Urban,10th - 12th,Employed,"50,000 - 1,00,000",Apple,iphonee 15 pro max,"Above 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Display quality, Brand reputation",Social media,Only when my phone stops working,Brand Showroom,No,Yes,Apple,Performance & Speed,"Above 70,000",Maybe,Doesn't matter
16,26 - 35,Female,Urban,Graduation,Unemployed,"25,000 - 50,000",Realme,,"10,000 - 20,000",6 months - 1 year,Online,"Battery life, Processor performance, Price & affordability",Social media,Only when my phone stops working,Online,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Maybe,Doesn't matter
17,26 - 35,Female,Rural,Graduation,Unemployed,"50,000 - 1,00,000",OnePlus,,"40,000 - 70,000",1 - 3 years,Brand Outlet/Showroom,"Camera quality, Battery life, Display quality",Social media,Only when my phone stops working,Online,No,Yes,Apple,"Features (camera, battery, performance, etc)","Above 70,000",Maybe,Doesn't matter
